ACCT 2301,Principles of Financial Accounting
BCHS 1297,Selected Topics in Biochemistry
BCHS 1397,Selected Topics in Biochemistry
BCHS 2197,Selected Topics in Biochemistry
BCHS 3197,Selected Topics in Biochemistry
BCHS 3201,Biochemistry I Laboratory
BCHS 3297,Selected Topics in Biochemistry
BCHS 3304,General Biochemistry I
BCHS 3305,General Biochemistry II
BCHS 3307,Biochemistry for Nutrition Majors
BCHS 3396,Senior Research Project
BCHS 3399,Senior Honors Thesis
BCHS 4197,Selected Topics in Biochemistry
BCHS 4198,Independent Study
BCHS 4298,Independent Study
BCHS 4304,Biophysics
BCHS 4306,Nucleic Acids
BCHS 4307,Proteins
BCHS 4311,Biochemistry Lab II
BCHS 4312,Molecular Modeling of Biological Macromolecules
BCHS 4313,Cell Biochemistry
BCHS 4314,Lipids and Carbohydrates
BCHS 4321,Genomics and Proteomics
BCHS 4322,Biochemistry of Organelles
BCHS 4323,Protein Biosynthesis
BCHS 4324,Bioinformatics
BCHS 4325,Molecular Microbiology
BCHS 4355,Eukaryotic Gene Regulation
BCHS 4360,Evolutionary Basis of Health and Disease
BCHS 4361,Clinical Biochemistry
BCHS 4370,Frontiers in Nano-Biotechnology
BCHS 4396,Senior Research Project
BCHS 4397,Topics-Biochem & Biophys Sci
BCHS 4398,Independent Study
BCHS 4399,Senior Honors Thesis
BCHS 4498,Independent Study
BIOL 1106,Biology for Science Majors I (lab)
BIOL 1107,Biology for Science Majors II (lab)
BIOL 1197,Selected Topics in Biology
BIOL 1297,Selected Topics in Biology
BIOL 1305,Human Biology for the Informed Citizen
BIOL 1306,Biology for Science Majors I (lecture)
BIOL 1307,Biology for Science Majors II (lecture)
BIOL 1308,Biology for Non-Science Majors I (lecture)
BIOL 1309,Biology for Non-Science Majors II (lecture)
BIOL 1319,Human Genetics and Society
BIOL 1397,Selected Topics in Biology
BIOL 2101,Anatomy & Physiology Laboratory I (lab)
BIOL 2102,Anatomy & Physiology II (lab)
BIOL 2120,Microbiology for Non-Science Majors Laboratory (lab)
BIOL 2121,Microbiology for Science Majors (lab)
BIOL 2197,Selected Topics in Biology
BIOL 2297,Selected Topics in Biology
BIOL 2301,Anatomy and Physiology I (lecture)
BIOL 2302,Anatomy and Physiology II (lecture)
BIOL 2315,Biology of Food
BIOL 2320,Microbiology for Non-Science Majors (lecture)
BIOL 2321,Microbiology for Science Majors (lecture)
BIOL 2397,Selected Topics in Biology
BIOL 3197,Selected Topics in Biology
BIOL 3224,Human Physiology Laboratory
BIOL 3297,Selected Topics in Biology
BIOL 3301,Mendelian and Population Genetics
BIOL 3304,The Biology of Social Behavior
BIOL 3305,Biodiversity
BIOL 3306,Evolutionary Biology
BIOL 3307,Introduction to Scientific Research
BIOL 3311,Advanced Methods and Writing in Genetics Laboratory
BIOL 3324,Human Physiology
BIOL 3326,History and Philosophy of Biology
BIOL 3330,Biological Field Research
BIOL 3340,Invertebrate Zoology
BIOL 3341,Human Genetics
BIOL 3345,Plant Physiology
BIOL 3350,Science Communication Strategies
BIOL 3359,Environmental Biology of Texas
BIOL 3365,Sex and Gender in Biology and Society
BIOL 3368,Ecology
BIOL 3396,Senior Research Project
BIOL 3397,Selected Topics in Biology
BIOL 3399,Senior Honors Thesis
BIOL 4103,Integration of Biological Knowledge
BIOL 4151,Biology Internship
BIOL 4197,Selected Topics in Biology
BIOL 4198,Independent Study
BIOL 4206,Ecology and Evolution Laboratory
BIOL 4272,Cellular and Developmental Biology Laboratory
BIOL 4298,Independent Study
BIOL 4301,Conservation Biology
BIOL 4302,Galapago! Research-based Learning Abroad
BIOL 4309,Mathematical Biology
BIOL 4310,Biostatistics
BIOL 4311,Genomic Data Analysis
BIOL 4312,Interpreting Experimental Biology
BIOL 4315,Neuroscience
BIOL 4320,Molecular Biology
BIOL 4323,Immunology
BIOL 4324,Bioinformatics
BIOL 4330,Molecular Basis of Infectious Disease
BIOL 4340,Research Methods
BIOL 4342,Introduction to Marine Biology
BIOL 4347,Animal Behavior
BIOL 4350,The Biology of Animal Signaling
BIOL 4351,Current Topics in Reproductive Biology
BIOL 4354,Endocrinology
BIOL 4355,Human Virology
BIOL 4356,Genomics
BIOL 4360,Evolutionary Basis of Health and Disease
BIOL 4365,Applied Evolution
BIOL 4366,Molecular and Genome Evolution
BIOL 4367,Evolutionary Ecology
BIOL 4370,Ecology and Development
BIOL 4373,Microbial Physiology
BIOL 4374,Cell Biology
BIOL 4384,Developmental Biology
BIOL 4396,Senior Research Project
BIOL 4397,Selected Topics in Biology
BIOL 4398,Independent Study
BIOL 4399,Senior Honors Thesis
BIOL 4498,Independent Study
BIOE 1331,Computing for Biomedical Engineering
BIOE 2100,Introduction To Biomedical Engineering
BIOE 2331,Biomedical Processes
BIOE 2397,Selected Topics
BIOE 3140,Quantitative Physiology Laboratory
BIOE 3340,Quantitative Physiology
BIOE 3341,Biothermodynamics
BIOE 3351,Introduction to Diseases
BIOE 3399,Senior Honors Thesis
BIOE 4115,Introduction to Bioinstrumentation Lab
BIOE 4150,Genomic and Proteomic Engineering Laboratory
BIOE 4197,Selected Topics
BIOE 4198,BME Independent Study
BIOE 4302,Numerical Analysis for Biomedical Engineering
BIOE 4303,Biomaterials
BIOE 4305,Brain Machine Interfacing
BIOE 4307,Optical Imaging
BIOE 4308,Neural Engineering Methods and Applications
BIOE 4309,Neural Technology Interfaces
BIOE 4310,Drug Design and Delivery
BIOE 4311,Advances in Vision Research
BIOE 4313,Introduction to Neural Computation
BIOE 4314,Engineering Physiology of the Human Body
BIOE 4315,Bioinstrumentation
BIOE 4319,Mass Transport Phenomena in Biological Systems
BIOE 4335,Capstone Design I
BIOE 4336,Capstone Design II
BIOE 4342,Biomedical Signal Processing
BIOE 4347,Cellular and Molecular Biology for BME
BIOE 4348,Tissue Engineering: Principles & Practice
BIOE 4349,Biomedical Microdevices
BIOE 4350,Genomic and Proteomic Engineering
BIOE 4366,Biomolecular Engr Fundamentals
BIOE 4397,Selected Topics
BIOE 4398,BME Independent Study
BIOE 4399,Senior Honors Thesis
BIOE 5315,Healthcare Innovations and Entrepreneurship
BIOE 5317,Introduction to Biomedical Imaging
BIOE 5318,Introduction to Biomedical Informatics
BIOE 5319,Introduction to Global Healthcare
BIOE 5320,Introduction to Electromagnetic Imaging
BIOE 5323,Introduction to Regenerative Medicine and Stem Cell Engineering
BIOE 5341,Advanced Biofluid Dynamics
BTEC 1322,Introduction to Biotechnology
BTEC 2322,Introduction to Biopython
BTEC 3200,Biotechnology Research Methods & Applications
BTEC 3301,Principles of Genomics/Proteomics and Bioinformatics
BTEC 3302,Molecular Genetics and Biotechnology
BTEC 3317,Biotechnology Regulatory Environment
BTEC 3320,Introduction to Quality Assurance and Quality Control in Biotechnology
BTEC 3321,Current Good Manufacturing Practices in Biotechnology
BTEC 4100,Principles of Bioinformatics Lab
BTEC 4101,Principles of Bioprocessing Laboratory
BTEC 4198,Independent Study in Biotechnology
BTEC 4249,Biotechnology Capstone Experience I
BTEC 4300,Principles of Bioinformatics
BTEC 4301,Principles of Bioprocessing
BTEC 4319,Microbial Biotechnology
BTEC 4350,Biotechnology Capstone II
BTEC 4397,Selected Topics in Biotechnology
BTEC 4398,Independent Study
BTIS 3300,Introduction to Homeland Security
BTIS 3320,US Border Management and Policy
BTIS 3323,Border Security and Cross-Border Challenges
BTIS 3330,Fundamentals of Transportation Law and Border Regulations
BTIS 4300,"Customs, Regulations, and Procedures"
BTIS 4320,Border Trade Policy
BTIS 4325,Border Interagency Coordination
BTIS 4397,"Selected Topics in Border, Trade, Immigration, and Security"
BUSI B011,Bauer CO-OP Experiential Work
BUSI 1301,Business Principles
BUSI 2305,Business Statistics
BUSI 3300,Introduction to Personal Finance
BUSI 3301,Connecting College to Business
BUSI 3302,Connecting Bauer to Business
BUSI 4198,Independent Study
BUSI 4305,Business Ethics for Accountants
BUSI 4320,Commercial Law
BUSI 4335,Brainstorming to Bankrolling
BUSI 4336,Consulting to Meet Small Business Needs
BUSI 4350,Business Law and Ethics
BUSI 4396,Business Internship
BUSI 4397,Special Topics in General Business
BUSI 4398,Independent Study
BZAN 3310,Introduction to Business Analytics
BZAN 4397,Selected Topics in Business Analytics
BCIS 1305,Business Computer Applications
CHEE 1331,Computing for Engineers
CHEE 2331,Chemical Processes
CHEE 2332,Chem Engr Thermodyn I
CHEE 3300,Materials Science & Engineering I
CHEE 3321,Analytical Methods for Chemical Engineers
CHEE 3333,Chemical Engineering Thermodynamics II
CHEE 3334,Statistics/Numerical Techniques for Chemical Engineers
CHEE 3363,Fluid Mechanics for Chemical Engineers
CHEE 3367,Process Modeling and Control
CHEE 3369,Chemical Engineering Transport Processes
CHEE 3399,Senior Honors Thesis
CHEE 3462,Unit Operations
CHEE 3466,Bio & Physical Chemistry
CHEE 4197,Selected Topics
CHEE 4198,Independent Study
CHEE 4297,Selected Topics
CHEE 4298,Independent Study
CHEE 4321,Chemical Engineering Design I
CHEE 4322,Chemical Engineering Design II
CHEE 4361,Chemical Engineering Practices
CHEE 4366,Biomolecular Engr Fundamentals
CHEE 4367,Chemical Reaction Engineering
CHEE 4397,Selected Topics
CHEE 4398,Independent Study
CHEE 4399,Senior Honors Thesis
CHEE 4498,Independent Study
CHEE 5119,Nanotechnology Laboratory
CHEE 5120,Nanomaterials Engineering Laboratory
CHEE 5121,Nanofabrication Laboratory
CHEE 5319,Introduction to Nanotechnology
CHEE 5320,Introduction to Nanomaterials Engineering
CHEE 5321,Nanoscale Design & Fabrication
CHEE 5323,Fundamentals of Tissue Engineering
CHEE 5350,Advanced Oxidation Processes for Water Treatment
CHEE 5355,Advanced Biomolecular Engineering
CHEE 5365,Fundamentals of Catalysis
CHEE 5367,Advanced Process Control
CHEE 5368,Chemical Process Economics I
CHEE 5369,Chemical Process Economics II
CHEE 5370,Sustainability and Environmental Mitigation
CHEE 5377,Introduction to Polymer Science
CHEE 5379,Safety and Reliability
CHEE 5383,Advanced Unit Operations
CHEE 5384,Petrochemical Processes
CHEE 5386,Air Pollution Problems and Control
CHEE 5388,Catalytic Processes
CHEE 5390,Energy and the Environment
CHEE 5393,Cellular and Biological Transport Phenomena
CHEE 5397,Selected Topics
CHEM 1105,Foundations of Chemistry Laboratory
CHEM 1111,Fundamentals of Chm Lab
CHEM 1112,Fundamentals of Chm Lab
CHEM 1305,Foundations of Chemistry
CHEM 1311,Fundamentals of Chemistry
CHEM 1312,Fundamentals of Chemistry 2
CHEM 1321,Honors Fundamentals of Chemistry 1
CHEM 1322,Honors Fundamentals of Chemistry 2
CHEM 2123,Organic Chemistry Lab I
CHEM 2125,Organic Chemistry Lab II
CHEM 2131,Problem Solving in Organic Chemistry I
CHEM 2132,Problem Solving in Organic Chemistry II
CHEM 2323,Organic Chemistry I
CHEM 2325,Organic Chemistry II
CHEM 3119,Anlytical Chemistry Lab
CHEM 3133,Inorganic Chemistry Laboratory I
CHEM 3333,Inorganic Chemistry I
CHEM 3336,Org Chem Biol Molecules
CHEM 3369,Analytical Chemistry 1
CHEM 3396,Senior Research Project
CHEM 3399,Senior Honors Thesis
CHEM 4115,Inorganic Chem Laboratory II
CHEM 4151,Chemistry Internship
CHEM 4229,Instrmntl Mthd-Anly Lab
CHEM 4270,Physical Chemistry Lab I
CHEM 4272,Physical Chemistry Laboratory II
CHEM 4330,Polymer Chemistry
CHEM 4336,Fundamentl Biochemistry
CHEM 4340,Research Methods
CHEM 4364,Advanced Organic Chem
CHEM 4365,Inorganic Chemistry II
CHEM 4369,Analytical Chemistry 2
CHEM 4370,Physical Chemistry I
CHEM 4372,Physical Chemistry II
CHEM 4373,Survey of Physical Chemistry
CHEM 4396,Research Project
CHEM 4397,Selected Topics in Chemistry
CHEM 4398,Independent Study
CHEM 4399,Senior Honors Thesis
CHIN 1198,Independent Study
CHIN 1209,Chinese Calligraphy
CHIN 1298,Independent Study
CHIN 1309,Chinese Writing and Calligraphy
CHIN 1398,Independent Study
CHIN 1501,Elementary Chinese I
CHIN 1502,Elementary Chinese II
CHIN 2198,Special Problems
CHIN 2207,Conversational Chinese I
CHIN 2208,Conversational Chinese II
CHIN 2298,Independent Study
CHIN 2311,Intermediate Chinese I
CHIN 2312,Intermediate Chinese II
CHIN 2398,Independent Study
CHIN 3198,Special Problems
CHIN 3298,Independent Study
CHIN 3301,Advanced Mandarin Chinese I
CHIN 3302,Advanced Mandarin Chinese II
CHIN 3303,Readings in Modern Chinese
CHIN 3304,Business Chinese
CHIN 3305,Survey of Chinese Literature
CHIN 3342,Tales of East Asian Cities
CHIN 3343,Chinese Popular Culture
CHIN 3344,Modern and Contemporary Global Chinese Literature
CHIN 3346,Sociolinguistic Perspectives on Contemporary China
CHIN 3347,"Chinese Language, Pragmatics, and Communication"
CHIN 3350,Chinese Culture Through Films
CHIN 3352,Chin Cul & Soc Thru Mod Lit
CHIN 3354,Chinese Culture and Language
CHIN 3359,Chinese Culture through History
CHIN 3360,A Look Into Modern China
CHIN 3396,Selected Topics
CHIN 3398,Independent Study
CHIN 4301,Public Speaking in Chinese
CHIN 4302,Integrated Chinese
CHIN 4364,Issues in Chinese Language and Linguistics
CHIN 4371,Principles of Teaching Chinese
CHIN 4372,Studies of Chinese Language Acquisition
CHIN 4396,Selected Topics
CHIN 4398,Independent Study
CIVE 2332,Mechanics of Solids
CIVE 2397,Selected Topics
CIVE 3331,Environmental Engineering
CIVE 3332,Engineering Materials
CIVE 3337,Structural Analysis
CIVE 3339,Geotechnical Engineering
CIVE 3380,Fundamentals of Plane Surveying
CIVE 3397,Selected Topics
CIVE 3434,Fluid Mechanics and Hydraulic Engineering
CIVE 4311,Professional Practice in Civil Engineering
CIVE 4312,Civil Engineering Capstone Design Project
CIVE 4332,Hydrology
CIVE 4333,Water and Wastewater Treatment
CIVE 4337,Transportation Engineering
CIVE 4363,Concrete Design
CIVE 4364,Structural Steel Design
CIVE 4369,Foundation Engineering
CIVE 4381,Satellite-based Geomatics and Geosensing
CIVE 4397,Selected Topics
CIVE 4398,Independent Study
CIVE 5362,Water Quality Engineering
CIVE 5388,Hazardous Waste Processes
CIVE 5397,Selected Topics
CLAS 2366,Who Owns Antiquity? The Battle over our Cultural Heritage
CLAS 3307,Greek & Roman Myths of Heroes
CLAS 3308,Myths & Cult of the Greek Gods
CLAS 3341,The Roman Republic
CLAS 3345,Myth&Performance in Greek Trag
CLAS 3350,Law and Society in Ancient Rome
CLAS 3366,Greek Art and Archaeology: In Search of the Trojan War
CLAS 3371,Ancient Comedy & Its Influence
CLAS 3373,Ancient Satire & Its Influence
CLAS 3374,Women in the Ancient World
CLAS 3375,"Roman, Jew, and Christian"
CLAS 3380,Epic Masculinity
CLAS 3381,From Homer To Hollywood
CLAS 3397,Sel Topics Gr & Rom Civ
CLAS 3398,Independent Study
CLAS 3399,Senior Honors Thesis
CLAS 4305,"Fifth-Century Athens: Readings in Intellectual, Literary, and Political History"
CLAS 4350,Age of Augustus
CLAS 4353,Classics and Modernity:The Uses of Antiquity in Modern & Postmodern Contexts
CLAS 4370,Comparative Epic
CLAS 4374,Sex and Gender in Antiquity
CLAS 4375,Gender and Race in Greek Myths
CLAS 4380,Greek Classics in Translation
CLAS 4381,Latin Classics in Translation
CLAS 4398,Independent Study
CLAS 4399,Senior Honors Thesis
COMM 1302,Introduction To Communication Theory
COMM 1303,Writing for Communicators
COMM 1307,Media and Society
COMM 2300,Communication Research Methods
COMM 2311,Writing for Print and Digital Media
COMM 2320,Fundamentals of Media Production
COMM 2322,Television Production I
COMM 2326,Introduction to Sports Broadcasting
COMM 2327,Introduction to Screen Writing
COMM 2328,Broadcast Writing Basics
COMM 2331,Relational Communication
COMM 2356,Business & Professional Communication
COMM 2370,Introduction to Motion Pictures
COMM 2371,"Media, Sports and Culture"
COMM 2383,Food As Communication
COMM 3300,Health Communication
COMM 3301,Doctor-Patient Interaction
COMM 3302,E-Health and Telemedicine
COMM 3303,Health Literacy
COMM 3304,Multicultural Health Communication
COMM 3306,End of Life Communication
COMM 3311,Editing for Print and Digital Media
COMM 3312,Global Journalism
COMM 3313,Data-Driven Storytelling & Visualization
COMM 3314,Intermediate Writing and Reporting
COMM 3315,News and Social Media
COMM 3316,Electronic News
COMM 3317,Multimedia Journalism
COMM 3318,Multimedia Storytelling
COMM 3319,Preproduction Management
COMM 3320,Audio Production
COMM 3321,Single Camera Studio Production
COMM 3322,Latino Journalism
COMM 3324,Photojournalism
COMM 3325,Sports Journalism
COMM 3326,Graphics Applications
COMM 3328,Introduction to Sports Production
COMM 3329,Media Performance
COMM 3331,Communication in the Family
COMM 3332,Effective Meeting Management
COMM 3340,Health Campaigns
COMM 3349,Nonverbal Communication
COMM 3350,Media Management
COMM 3352,Small Group Process
COMM 3353,Information & Communication Technologies I
COMM 3358,Leadership Communication & Organizations
COMM 3359,Sports Media & Communication
COMM 3360,Principles of Strategic Communication
COMM 3361,Advertising Copywriting
COMM 3363,Global & Multicultural Advertising
COMM 3367,Student-Run Agency Experience
COMM 3368,Principles of Public Relations
COMM 3369,Strategic Communication Writing
COMM 3370,History of Cinema
COMM 3372,Gender and Media
COMM 3373,Television: History and Culture
COMM 3374,Strategic Social Media
COMM 3376,Media Effects
COMM 3377,Strategic Public Relations Planning
COMM 3380,Electronic Field Production
COMM 3381,Short Film Practicum
COMM 3382,Television II and Sports Production
COMM 3383,Non-linear Editing
COMM 3384,The Media Industry
COMM 3385,Communication Practicum Abroad
COMM 3387,Valenti Production House
COMM 3388,Digital Media Entrepreneurship
COMM 3399,Senior Honors Thesis
COMM 4198,Independent Study
COMM 4301,Introduction to Latinx Communication Studies
COMM 4302,Latinx Media Studies
COMM 4303,Communication Law and Ethics
COMM 4310,Opinion Writing & Blogging
COMM 4312,Feature Writing for Print and Digital Media
COMM 4313,Investigative Reporting
COMM 4314,Social Issues in Journalism
COMM 4316,Advanced Electronic News
COMM 4320,Media Production Workshop I
COMM 4322,Television Producing and Directing I
COMM 4324,Advanced Audio Production
COMM 4328,Broadcast and Film Dramatic Writing
COMM 4331,Persuasion
COMM 4335,Crisis Communication
COMM 4337,Television and the Familiy
COMM 4338,Family in Popular Culture
COMM 4354,Organizational Crisis Communication
COMM 4355,Organizational Communication
COMM 4357,Intercultural Communication
COMM 4358,Bargaining and Negotiation
COMM 4360,Media Planning & Placement
COMM 4361,Advertising Campaign Competition
COMM 4363,Integrated Communication Campaigns
COMM 4365,Digital Public Relations and Advertising
COMM 4366,Advertising Account Planning
COMM 4367,Issues Management
COMM 4368,Public Relations Campaigns
COMM 4369,Advertising Portfolio
COMM 4370,Social Aspects of Film
COMM 4371,American Cinema: The Directors
COMM 4372,"Media, Power, and Society"
COMM 4373,Intercultural Public Relations
COMM 4374,Strategic Communication Research Projects
COMM 4375,Propaganda & Mass Comm
COMM 4377,Understanding Publics
COMM 4378,The Social Impact of New Information Technology
COMM 4380,Live Sports Production
COMM 4381,Digital Cinematography
COMM 4382,Narrative Non-Linear Editing
COMM 4383,Documentary Filmmaking
COMM 4384,Strategic Communication Applications
COMM 4385,Color Grading
COMM 4386,"Reporting on Immigration, Hispanics and Data"
COMM 4387,Media and Political Campaigns in the Digital Age
COMM 4388,"Media, Hispanics and Development"
COMM 4389,Media for Social Justice: Digital Media & Activism in Latin America & Houston
COMM 4390,Film Genres
COMM 4392,Professional Internship for Credit
COMM 4397,Selected Topics Communication
COMM 4398,Independent Study
COMM 4399,Senior Honors Thesis
SPCH 1318,Interpersonal Communication
COMD 1333,Introduction to Communication Sciences and Disorders
COMD 2338,Phonetics
COMD 2339,Language Development
COMD 2376,Anatomy for Communication
COMD 3301,History and Culture of American Deaf Community
COMD 3321,Multicultural Considerations in Communication Disorders
COMD 3322,Code-Switching and Linguistic Justice
COMD 3371,Speech Development and Disorders in Children
COMD 3381,Audiology
COMD 3383,Language Disorders in Children
COMD 3385,Speech Science
COMD 3396,Selected Topics in Communication Sciences and Disorders
COMD 3399,Senior Honors Thesis in Communication Disorders
COMD 4198,Independent Study in Communication Sciences and Disorders
COMD 4333,Neuroscience for Communication Disorders
COMD 4382,Aural Rehabilitation
COMD 4398,Independent Study
COMD 4399,Senior Honors Thesis in Communication Disorders
COMD 4489,Clinical Procedures
COMD 5341,Competencies and Strategies for the SLPA I
COMD 5342,Competencies and Strategies for the SLPA II
COMD 5345,Speech and Language Disorders in Children for the SLPA
COMD 5346,Speech and Language Disorders in Adults for the SLPA
COMD 5441,SLPA Externship I
CCS 2350 ,Perspectives Cultural Studies
CCS 2394 ,Selected Topics in Comparative Cultural Studies
CCS 3350 ,Brazilian Cultures and Their Histories
CCS 4394 ,Selected Topics in Comparative Cultural Studies
CCS 4398 ,Independent Study in Comparative Cultural Studies
CEA 3201 ,Computer Programming for Engineers
CEA 3302 ,Fundamentals of Software Engineering
CEA 3311 ,Operating Systems for Engineers
CEA 3312 ,Fundamentals of Computer Architecture
CEA 3323 ,Data Structures and Algorithms
CEA 3337 ,Digital Signals and Systems
CEA 3338 ,Microprocessor Systems
CEA 3421 ,Introduction to Control Systems
CEA 4321 ,Database Principles and Applications
CEA 4335 ,Capstone Design I
CEA 4336 ,Capstone Design II
CEA 4339 ,Engineering Applications of Graph Theory
CEA 4341 ,Pattern Recognition and Machine Learning
CEA 4342 ,Robotics and Automation
CEA 4355 ,Engineering Data Analytics
CEA 4422 ,Communications and Networking
CEA 4424 ,Embedded Computing and Internet of Things
CEA 4444 ,Introduction to Cybersecurity
CIS 1300 ,Problem Solving Using Computers
CIS 1332 ,Introduction to Information Technology
CIS 2334 ,Information Systems Applications
CIS 2336 ,Web Application Development
CIS 2337 ,Fundamentals of Information Security
CIS 2348 ,Information Systems Application Development
CIS 3320 ,Information Visualization
CIS 3330 ,Information Systems in Organizations
CIS 3337 ,Secure Application Design
CIS 3343 ,Information Systems Analysis & Design
CIS 3347 ,Information Systems Infrastructure and Networking
CIS 3351 ,Intrusion Detection and Incident Response
CIS 3357 ,Cloud Computing Infrastructure
CIS 3367 ,Cloud Computing Architecture and Implementation
CIS 3368 ,Advanced Information Systems Development
CIS 4320 ,Decision Informatics
CIS 4338 ,Advanced Database Concepts
CIS 4339 ,Enterprise Applications Development
CIS 4355 ,Information Systems Operations
CIS 4357 ,Digital Forensics
CIS 4365 ,Database Management
CIS 4367 ,Advanced Digital Forensics
CIS 4375 ,Project Management and Practice
CIS 4397 ,Selected Topics in Computer Information Systems
CIS 4398 ,Independent Study
COSC 1300,Introduction to Computing
COSC 1304,C Programming
COSC 1305,C++ Programming
COSC 1320,Object Oriented Programming
COSC 1336,Computer Science and Programming
COSC 1410,Introductn Computer Science I
COSC 1437,Introduction to Programming
COSC 2305,Computing Structures
COSC 2306,Data Programming
COSC 2320,Data Structures
COSC 2410,Computer Organization and Programming
COSC 2425,Computer Organization and Architecture
COSC 2436,Programming and Data Structures
COSC 3320,Algorithms and Data Structures
COSC 3330,Computer Architecture
COSC 3337,Data Science I
COSC 3340,Introduction to Automata and Computability
COSC 3360,Fundamentals of Operating Systems
COSC 3371,Cybersecurity
COSC 3380,Database Systems
COSC 3396,Senior Research Project
COSC 3399,Senior Honors Thesis
COSC 4151,Computer Science Internship
COSC 4198,Independent Study
COSC 4298,Independent Study
COSC 4311,Computer Scientists and Society
COSC 4315,Programming Languages and Paradigms
COSC 4321,Immersive Technology and Spatial Computing
COSC 4324,Entrepreneurship for Computer Science
COSC 4331,Real-Time Systems and Embedded Programming
COSC 4332,Medical Robotics & Image Guided Interventions
COSC 4337,Data Science II
COSC 4348,Introduction to Game Art and Animation
COSC 4349,Intermediate Game Art and Animation
COSC 4351,Fundamentals of Software Engineering
COSC 4353,Software Design
COSC 4354,Software Development Practices
COSC 4355,Introduction to Ubiquitous Computing
COSC 4358,Introduction to Interactive Game Development
COSC 4359,Intermediate Interactive Game Development
COSC 4364,Numerical Methods
COSC 4368,Fundamentals of Artificial Intelligence
COSC 4370,Interactive Computer Graphics
COSC 4371,Security Analytics
COSC 4372,Fundamentals of Medical Imaging
COSC 4377,Introduction To Computer Networks
COSC 4390,Internet Computing
COSC 4393,Digital Image Processing
COSC 4394,Physical Computing for Image Analytics
COSC 4396,Senior Research Project
COSC 4397,Sel Top-Computer Science
COSC 4398,Independent Study
COSC 4399,Senior Honors Thesis
COSC 4498,Independent Study
CNE 2211 ,Construction Engineering Fundamentals
CNE 3301 ,Construction Safety Engineering
CNE 3310 ,Construction Engineering Project Management
CNE 3311 ,Construction Engineering Methods and Cost Estimating
CNE 3322 ,Legal Aspects of Construction Engineering
CNE 3333 ,Building Information Modeling
CNE 4312 ,Construction Engineering Senior Capstone Design
CNE 4321 ,Construction Engineering Estimating
